month,sales_of_shampoo
1998-01-01,266
1998-01-02,145.9
1998-01-03,183.1
1998-01-04,119.3
1998-01-05,180.3
1998-01-06,168.5
1998-01-07,231.8
1998-01-08,224.5
1998-01-09,192.8
1998-01-10,122.9
1998-01-11,336.5
1998-01-12,185.9
1998-02-01,194.3
1998-02-02,149.5
1998-02-03,210.1
1998-02-04,273.3
1998-02-05,191.4
1998-02-06,287
1998-02-07,226
1998-02-08,303.6
1998-02-09,289.9
1998-02-10,421.6
1998-02-11,264.5
1998-02-12,342.3
1998-03-01,339.7
1998-03-02,440.4
1998-03-03,315.9
1998-03-04,439.3
1998-03-05,401.3
1998-03-06,437.4
1998-03-07,575.5
1998-03-08,407.6
1998-03-09,682
1998-03-10,475.3
1998-03-11,581.3
1998-03-12,646.9
